NaN,1.96,2.06,2.16,2.26,2.36,2.46,2.56,2.66,2.76,2.86,2.96,3.06,3.16,3.26,3.36,3.46,3.56,3.66,3.76,3.86,3.96,4.06,4.16,4.26,4.36,4.46,4.56,4.66,4.76,4.86,4.96,5.06,5.16,5.26,5.36,5.46,5.56,5.66,5.76,5.86,5.87,5.96,6.06,6.16,6.26,6.36,6.46,6.56,6.66,6.76,6.86,6.96,7.06,7.56,8.06,8.56,9.06,9.56,10.06,10.56,11.06,11.56,12.06,12.56
-5,0.17642,0.17642,0.17642,0.17642,0.17642,0.17642,0.17713,0.17713,0.17642,0.17642,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.17713,0.18465,0.1922,0.19942,0.20664,0.21366,0.22069,0.22788,0.23512,0.2415,0.24755,0.26711,0.24241,0.13894,0.081936,0.04949,0.036039,0.027952,0.023449,0.020671,0.018458,0.016501
-4.8,0.18891,0.18891,0.18891,0.18891,0.18891,0.18891,0.18961,0.18961,0.18891,0.18891,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.18961,0.19658,0.20355,0.20998,0.21641,0.22274,0.22906,0.23576,0.24261,0.24874,0.25471,0.27468,0.28847,0.15775,0.096835,0.059607,0.043217,0.03368,0.028023,0.024439,0.021837,0.019501
-4.6,0.20107,0.20107,0.20107,0.20107,0.20107,0.20107,0.20175,0.20175,0.20107,0.20107,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.20175,0.2084,0.21501,0.2207,0.22639,0.23194,0.2375,0.24362,0.24996,0.25575,0.2616,0.28203,0.29312,0.17625,0.11195,0.070737,0.050705,0.039849,0.032871,0.028237,0.025238,0.022509
-4.4,0.2128,0.2128,0.2128,0.2128,0.2128,0.2128,0.21349,0.21349,0.2128,0.2128,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.21349,0.22001,0.22645,0.2315,0.23655,0.24132,0.2461,0.25154,0.25724,0.26262,0.26831,0.28933,0.29829,0.1944,0.1277,0.082423,0.058435,0.045934,0.037686,0.032097,0.028632,0.025507
-4.2,0.22415,0.22415,0.22415,0.22415,0.22415,0.22415,0.22484,0.22484,0.22415,0.22415,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.22484,0.23134,0.23772,0.24235,0.24698,0.25092,0.25486,0.25955,0.26453,0.26942,0.27486,0.29571,0.30375,0.21236,0.14317,0.09437,0.066712,0.052147,0.042546,0.036037,0.032028,0.02851
-4,0.23491,0.23491,0.23491,0.23491,0.23491,0.23491,0.23561,0.23561,0.23491,0.23491,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.23561,0.24269,0.24955,0.25354,0.25753,0.26071,0.26389,0.26778,0.27194,0.27623,0.28129,0.30216,0.30933,0.22964,0.15862,0.10663,0.075831,0.058618,0.047491,0.040082,0.0354,0.031521
-3.8,0.24516,0.24516,0.24516,0.24516,0.24516,0.24516,0.24586,0.24586,0.24516,0.24516,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.24586,0.25313,0.26016,0.26414,0.26811,0.27067,0.27323,0.27629,0.27955,0.28314,0.28768,0.30834,0.31498,0.2461,0.17389,0.11916,0.085196,0.065201,0.052647,0.04435,0.038777,0.034545
-3.6,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.25561,0.25561,0.2549,0.2549,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.25561,0.26304,0.27025,0.27438,0.2785,0.28072,0.28295,0.28519,0.28744,0.29022,0.2941,0.31413,0.32081,0.26177,0.18914,0.13257,0.095136,0.072101,0.058165,0.048929,0.042198,0.037603
-3.4,0.26414,0.26414,0.26414,0.26414,0.26414,0.26414,0.26486,0.26486,0.26414,0.26414,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486,0.27245,0.27982,0.28421,0.28859,0.29073,0.29287,0.29439,0.29567,0.29761,0.30071,0.31958,0.3271,0.27627,0.20404,0.14536,0.10537,0.07967,0.064052,0.053596,0.045691,0.040683
