0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.18	0.23	0.26	0.27	0.18	0.23	0.26
0.24	0.32	0.35	0.37	0.24	0.32	0.35
0.28	0.36	0.30	0.41	0.28	0.36	0.30
0.31	0.38	0.41	0.43	0.31	0.38	0.41
0.32	0.39	0.43	0.44	0.32	0.39	0.43
0.32	0.39	0.43	0.44	0.32	0.39	0.43
0.31	0.37	0.40	0.42	0.31	0.37	0.40
0.29	0.35	0.36	0.38	0.29	0.35	0.36
0.27	0.30	0.31	0.32	0.27	0.30	0.31
0.24	0.24	0.24	0.26	0.24	0.24	0.24
0.21	0.21	0.20	0.21	0.21	0.21	0.20
0.18	0.17	0.16	0.18	0.18	0.17	0.16
0.14	0.14	0.14	0.15	0.14	0.14	0.14
0.11	0.11	0.11	0.12	0.11	0.11	0.11
0.10	0.10	0.10	0.11	0.10	0.10	0.10
